trial,ln_P_H2,ln_r
1,3.264154208,-15.69291584
1,3.669619316,-15.3707006
1,4.18044494,-14.84043438
1,2.571007027,-15.93793968
1,3.957301388,-15.08692764
1,3.264154208,-15.63006182
2,3.264154208,-15.44460523
2,3.669619316,-14.88908754
2,4.18044494,-14.84914178
2,2.571007027,-16.01271411
2,3.957301388,-14.93669372
2,3.264154208,-15.49545632
3,3.669619316,-15.13096464
3,4.18044494,-14.6428804
3,2.571007027,-15.97348684
3,3.957301388,-14.99714759
3,3.264154208,-15.3300164
4,3.264154208,-15.48369533
4,3.669619316,-15.13230841
4,4.18044494,-14.66437127
4,2.571007027,-15.7289718
4,3.957301388,-14.88590839
4,3.264154208,-15.39501306
